"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Rwanda","Africa",1992,23.599,7290203,737.0685949
"2","Afghanistan","Asia",1952,28.801,8425333,779.4453145
"3","Gambia","Africa",1952,30,284320,485.2306591
"4","Angola","Africa",1952,30.015,4232095,3520.610273
"5","Sierra Leone","Africa",1952,30.331,2143249,879.7877358
"6","Afghanistan","Asia",1957,30.332,9240934,820.8530296
"7","Cambodia","Asia",1977,31.22,6978607,524.9721832
"8","Mozambique","Africa",1952,31.286,6446316,468.5260381
"9","Sierra Leone","Africa",1957,31.57,2295678,1004.484437
"10","Burkina Faso","Africa",1952,31.975,4469979,543.2552413
"11","Afghanistan","Asia",1962,31.997,10267083,853.10071
"12","Angola","Africa",1957,31.999,4561361,3827.940465
"13","Gambia","Africa",1957,32.065,323150,520.9267111
"14","Guinea-Bissau","Africa",1952,32.5,580653,299.850319
"15","Yemen, Rep.","Asia",1952,32.548,4963829,781.7175761
"16","Sierra Leone","Africa",1962,32.767,2467895,1116.639877
"17","Somalia","Africa",1952,32.978,2526994,1135.749842
"18","Guinea-Bissau","Africa",1957,33.489,601095,431.7904566
"19","Guinea","Africa",1952,33.609,2664249,510.1964923
"20","Mali","Africa",1952,33.685,3838168,452.3369807
"21","Mozambique","Africa",1957,33.779,7038035,495.5868333
"22","Gambia","Africa",1962,33.896,374020,599.650276
"23","Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
"24","Angola","Africa",1962,34,4826015,4269.276742
"25","Afghanistan","Asia",1967,34.02,11537966,836.1971382
"26","Ethiopia","Africa",1952,34.078,20860941,362.1462796
"27","Sierra Leone","Africa",1967,34.113,2662190,1206.043465
"28","Equatorial Guinea","Africa",1952,34.482,216964,375.6431231
"29","Guinea-Bissau","Africa",1962,34.488,627820,522.0343725
"30","Guinea","Africa",1957,34.558,2876726,576.2670245
"31","Djibouti","Africa",1952,34.812,63149,2669.529475
"32","Burkina Faso","Africa",1957,34.906,4713416,617.1834648
"33","Somalia","Africa",1957,34.977,2780415,1258.147413
"34","Yemen, Rep.","Asia",1962,35.18,6120081,825.6232006
"35","Mali","Africa",1957,35.307,4241884,490.3821867
"36","Sierra Leone","Africa",1972,35.4,2879013,1353.759762
"37","Central African Republic","Africa",1952,35.463,1291695,1071.310713
"38","Guinea-Bissau","Africa",1967,35.492,601287,715.5806402
"39","Guinea","Africa",1962,35.753,3140003,686.3736739
"40","Gambia","Africa",1967,35.857,439593,734.7829124
"41","Eritrea","Africa",1952,35.928,1438760,328.9405571
"42","Equatorial Guinea","Africa",1957,35.983,232922,426.0964081
"43","Angola","Africa",1967,35.985,5247469,5522.776375
"44","Rwanda","Africa",1997,36.087,7212583,589.9445051
"45","Afghanistan","Asia",1972,36.088,13079460,739.9811058
"46","Nepal","Asia",1952,36.157,9182536,545.8657229
"47","Mozambique","Africa",1962,36.161,7788944,556.6863539
"48","Malawi","Africa",1952,36.256,2917802,369.1650802
"49","Myanmar","Asia",1952,36.319,20092996,331
"50","Nigeria","Africa",1952,36.324,33119096,1077.281856
"51","Guinea-Bissau","Africa",1972,36.486,625361,820.2245876
"52","Ethiopia","Africa",1957,36.667,22815614,378.9041632
"53","Madagascar","Africa",1952,36.681,4762912,1443.011715
"54","Sierra Leone","Africa",1977,36.788,3140897,1348.285159
"55","Mali","Africa",1962,36.936,4690372,496.1743428
"56","Somalia","Africa",1962,36.981,3080153,1369.488336
"57","Yemen, Rep.","Asia",1967,36.984,6740785,862.4421463
"58","Gabon","Africa",1952,37.003,420702,4293.476475
"59","Guinea","Africa",1967,37.197,3451418,708.7595409
"60","Malawi","Africa",1957,37.207,3221238,416.3698064
"61","Senegal","Africa",1952,37.278,2755589,1450.356983
"62","Djibouti","Africa",1957,37.328,71851,2864.969076
"63","India","Asia",1952,37.373,372000000,546.5657493
"64","Niger","Africa",1952,37.444,3379468,761.879376
"65","Central African Republic","Africa",1957,37.464,1392284,1190.844328
"66","Guinea-Bissau","Africa",1977,37.465,745228,764.7259628
"67","Indonesia","Asia",1952,37.468,82052000,749.6816546
"68","Bangladesh","Asia",1952,37.484,46886859,684.2441716
"69","Equatorial Guinea","Africa",1962,37.485,249220,582.8419714
"70","Oman","Asia",1952,37.578,507833,1828.230307
"71","Haiti","Americas",1952,37.579,3201488,1840.366939
"72","Nepal","Asia",1957,37.686,9682338,597.9363558
"73","Nigeria","Africa",1957,37.802,37173340,1100.592563
"74","Burkina Faso","Africa",1962,37.814,4919632,722.5120206
"75","Angola","Africa",1972,37.928,5894858,5473.288005
"76","Eritrea","Africa",1957,38.047,1542611,344.1618859
"77","Chad","Africa",1952,38.092,2682462,1178.665927
"78","Mozambique","Africa",1967,38.113,8680909,566.6691539
"79","Benin","Africa",1952,38.223,1738315,1062.7522
"80","Gambia","Africa",1972,38.308,517101,756.0868363
"81","Sierra Leone","Africa",1992,38.333,4260884,1068.696278
"82","Malawi","Africa",1962,38.41,3628608,427.9010856
"83","Afghanistan","Asia",1977,38.438,14880372,786.11336
"84","Sierra Leone","Africa",1982,38.445,3464522,1465.010784
"85","Liberia","Africa",1952,38.48,863308,575.5729961
"86","Mali","Africa",1967,38.487,5212416,545.0098873
"87","Cameroon","Africa",1952,38.523,5009067,1172.667655
"88","Togo","Africa",1952,38.596,1219113,859.8086567
"89","Niger","Africa",1957,38.598,3692184,835.5234025
"90","Sudan","Africa",1952,38.635,8504667,1615.991129
"91","Guinea","Africa",1972,38.842,3811387,741.6662307
"92","Madagascar","Africa",1957,38.865,5181679,1589.20275
"93","Somalia","Africa",1967,38.977,3428839,1284.73318
"94","Equatorial Guinea","Africa",1967,38.987,259864,915.5960025
"95","Gabon","Africa",1957,38.999,434904,4976.198099
"96","Burundi","Africa",1952,39.031,2445618,339.2964587
"97","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257
"98","Zambia","Africa",2002,39.193,10595811,1071.613938
"99","Guinea-Bissau","Africa",1982,39.327,825987,838.1239671
"100","Senegal","Africa",1957,39.329,3054547,1567.653006
"101","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"102","Nigeria","Africa",1962,39.36,41871351,1150.927478
"103","Nepal","Asia",1962,39.393,10332057,652.3968593
"104","Cambodia","Asia",1952,39.417,4693836,368.4692856
"105","Central African Republic","Africa",1962,39.475,1523478,1193.068753
"106","Angola","Africa",1977,39.483,6162675,3008.647355
"107","Liberia","Africa",1957,39.486,975950,620.9699901
"108","Malawi","Africa",1967,39.487,4147252,495.5147806
"109","Niger","Africa",1962,39.487,4076008,997.7661127
"110","Swaziland","Africa",2007,39.613,1133066,4513.480643
"111","Sudan","Africa",1957,39.624,9753392,1770.337074
"112","Somalia","Africa",1992,39.658,6099799,926.9602964
"113","Djibouti","Africa",1962,39.693,89898,3020.989263
"114","Yemen, Rep.","Asia",1972,39.848,7407075,1265.047031
"115","Afghanistan","Asia",1982,39.854,12881816,978.0114388
"116","Saudi Arabia","Asia",1952,39.875,4005677,6459.554823
"117","Chad","Africa",1957,39.881,2894855,1308.495577
"118","Sierra Leone","Africa",1997,39.897,4578212,574.6481576
"119","Angola","Africa",1987,39.906,7874230,2430.208311
"120","Indonesia","Asia",1957,39.918,90124000,858.9002707
"121","Angola","Africa",1982,39.942,7016384,2756.953672
"122","Mali","Africa",1972,39.977,5828158,581.3688761
"123","Uganda","Africa",1952,39.978,5824797,734.753484
"124","Zimbabwe","Africa",2002,39.989,11926563,672.0386227
"125","Rwanda","Africa",1952,40,2534927,493.3238752
"126","Sierra Leone","Africa",1987,40.006,3868905,1294.447788
"127","Ethiopia","Africa",1962,40.059,25145372,419.4564161
"128","Oman","Asia",1957,40.08,561977,2242.746551
"129","Niger","Africa",1967,40.118,4534062,1054.384891
"130","Eritrea","Africa",1962,40.158,1666618,380.9958433
"131","Zambia","Africa",1997,40.238,9417789,1071.353818
"132","India","Asia",1957,40.249,409000000,590.061996
"133","Cambodia","Asia",1972,40.317,7450606,421.6240257
"134","Mozambique","Africa",1972,40.328,9809596,724.9178037
"135","Benin","Africa",1957,40.358,1925173,959.6010805
"136","Vietnam","Asia",1952,40.412,26246839,605.0664917
"137","Bolivia","Americas",1952,40.414,2883315,2677.326347
"138","Cameroon","Africa",1957,40.428,5359923,1313.048099
"139","Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732
"140","Gabon","Africa",1962,40.489,455661,6631.459222
"141","Liberia","Africa",1962,40.502,1112796,634.1951625
"142","Equatorial Guinea","Africa",1972,40.516,277603,672.4122571
"143","Burundi","Africa",1957,40.533,2667518,379.5646281
"144","Mauritania","Africa",1952,40.543,1022556,743.1159097
"145","Niger","Africa",1972,40.546,5060262,954.2092363
"146","Angola","Africa",1992,40.647,8735988,2627.845685
"147","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303
"148","Haiti","Americas",1957,40.696,3507701,1726.887882
"149","Burkina Faso","Africa",1967,40.697,5127935,794.8265597
"150","Comoros","Africa",1952,40.715,153936,1102.990936
"151","Guinea","Africa",1977,40.762,4227026,874.6858643
"152","Liberia","Africa",1992,40.802,1912974,636.6229191
"153","Afghanistan","Asia",1987,40.822,13867957,852.3959448
"154","Madagascar","Africa",1962,40.848,5703324,1643.38711
"155","Sudan","Africa",1962,40.87,11183227,1959.593767
"156","Angola","Africa",1997,40.963,9875024,2277.140884
"157","Somalia","Africa",1972,40.973,3840161,1254.576127
"158","Angola","Africa",2002,41.003,10866106,2773.287312
"159","Sierra Leone","Africa",2002,41.012,5359092,699.489713
"160","Nigeria","Africa",1967,41.04,47287752,1014.514104
"161","Togo","Africa",1957,41.208,1357445,925.9083202
"162","Tanzania","Africa",1952,41.215,8322925,716.6500721
"163","Bangladesh","Asia",1962,41.216,56839289,686.3415538
"164","Guinea-Bissau","Africa",1987,41.245,927524,736.4153921
"165","Niger","Africa",1977,41.291,5682086,808.8970728
"166","Cambodia","Asia",1957,41.366,5322536,434.0383364
"167","Swaziland","Africa",1952,41.407,290243,1148.376626
"168","Senegal","Africa",1962,41.454,3430243,1654.988723
"169","Nepal","Asia",1967,41.472,11261690,676.4422254
"170","Central African Republic","Africa",1967,41.478,1733638,1136.056615
"171","Rwanda","Africa",1957,41.5,2822082,540.2893983
"172","Liberia","Africa",1967,41.536,1279406,713.6036483
"173","Afghanistan","Asia",1992,41.674,16317921,649.3413952
"174","Mali","Africa",1977,41.714,6491649,686.3952693
"175","Chad","Africa",1962,41.716,3150417,1389.817618
"176","Namibia","Africa",1952,41.725,485831,2423.780443
"177","Afghanistan","Asia",1997,41.763,22227415,635.341351
"178","Malawi","Africa",1972,41.766,4730997,584.6219709
"179","Gambia","Africa",1977,41.842,608274,884.7552507
"180","Bolivia","Americas",1957,41.89,3211738,2127.686326
"181","Egypt","Africa",1952,41.893,22223309,1418.822445
"182","Myanmar","Asia",1957,41.905,21731844,350
"183","Honduras","Americas",1952,41.912,1517453,2194.926204
"184","Somalia","Africa",1977,41.974,4353666,1450.992513
"185","Guatemala","Americas",1952,42.023,3146381,2428.237769
"186","Equatorial Guinea","Africa",1977,42.024,192675,958.5668124
"187","Zambia","Africa",1952,42.038,2672000,1147.388831
"188","Burundi","Africa",1962,42.045,2961915,355.2032273
"189","Djibouti","Africa",1967,42.074,127617,3020.050513
"190","Mozambique","Africa",2007,42.082,19951656,823.6856205
"191","Congo, Rep.","Africa",1952,42.111,854885,2125.621418
"192","Ethiopia","Africa",1967,42.115,27860297,516.1186438
"193","Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335
"194","Afghanistan","Asia",2002,42.129,25268405,726.7340548
"195","Lesotho","Africa",1952,42.138,748747,298.8462121
"196","Eritrea","Africa",1967,42.189,1820319,468.7949699
"197","Liberia","Africa",1997,42.221,2200725,609.1739508
"198","Mongolia","Asia",1952,42.244,800663,786.5668575
"199","Kenya","Africa",1952,42.27,6464046,853.540919
"200","Nicaragua","Americas",1952,42.314,1165790,3112.363948
"201","Mauritania","Africa",1957,42.338,1076852,846.1202613
"202","Zambia","Africa",2007,42.384,11746035,1271.211593
"203","Comoros","Africa",1957,42.46,170928,1211.148548
"204","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925
"205","Mozambique","Africa",1977,42.495,11127868,502.3197334
"206","Indonesia","Asia",1962,42.518,99028000,849.2897701
"207","Sierra Leone","Africa",2007,42.568,6144562,862.5407561
"208","Uganda","Africa",1957,42.571,6675501,774.3710692
"209","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"210","Lesotho","Africa",2007,42.592,2012649,1569.331442
"211","Niger","Africa",1982,42.598,6437188,909.7221354
"212","Liberia","Africa",1972,42.614,1482628,803.0054535
"213","Benin","Africa",1962,42.618,2151895,949.4990641
"214","Cameroon","Africa",1962,42.643,5793633,1399.607441
"215","Libya","Africa",1952,42.723,1019729,2387.54806
"216","Angola","Africa",2007,42.731,12420476,4797.231267
"217","Mozambique","Africa",1982,42.795,12587223,462.2114149
"218","Nigeria","Africa",1972,42.821,53740085,1698.388838
"219","Sudan","Africa",1967,42.858,12716129,1687.997641
"220","Mozambique","Africa",1987,42.861,12891952,389.8761846
"221","Saudi Arabia","Asia",1957,42.868,4419650,8157.591248
"222","Morocco","Africa",1952,42.873,9939217,1688.20357
"223","Madagascar","Africa",1967,42.881,6334556,1634.047282
"224","Vietnam","Asia",1957,42.887,28998543,676.2854478
"225","Guinea","Africa",1982,42.891,4710497,857.2503577
"226","Somalia","Africa",1982,42.955,5828892,1176.807031
"227","Tanzania","Africa",1957,42.974,9452826,698.5356073
"228","Rwanda","Africa",1962,43,3051242,597.4730727
"229","Algeria","Africa",1952,43.077,9279525,2449.008185
"230","Ghana","Africa",1952,43.149,5581001,911.2989371
"231","Jordan","Asia",1952,43.158,607914,1546.907807
"232","West Bank and Gaza","Asia",1952,43.16,1030585,1515.592329
"233","Oman","Asia",1962,43.165,628164,2924.638113
"234","Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706
"235","Central African Republic","Africa",2002,43.308,4048013,738.6906068
"236","Rwanda","Africa",2002,43.413,7852401,785.6537648
"237","Cambodia","Asia",1962,43.415,6083619,496.9136476
"238","Swaziland","Africa",1957,43.424,326741,1244.708364
"239","Bolivia","Americas",1962,43.428,3593918,2180.972546
"240","Pakistan","Asia",1952,43.436,41346560,684.5971438
"241","Bangladesh","Asia",1967,43.453,62821884,721.1860862
"242","Central African Republic","Africa",1972,43.457,1927260,1070.013275
"243","Zimbabwe","Africa",2007,43.487,12311143,469.7092981
"244","Ethiopia","Africa",1972,43.515,30770372,566.2439442
"245","Burundi","Africa",1967,43.548,3330989,412.9775136
"246","Senegal","Africa",1967,43.563,3965841,1612.404632
"247","Turkey","Europe",1952,43.585,22235677,1969.10098
"248","Haiti","Americas",1962,43.59,3880130,1796.589032
"249","Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"250","Chad","Africa",1967,43.601,3495967,1196.810565
"251","India","Asia",1962,43.605,454000000,658.3471509
"252","Equatorial Guinea","Africa",1982,43.662,285483,927.8253427
"253","Liberia","Africa",2002,43.753,2814651,531.4823679
"254","Liberia","Africa",1977,43.764,1703617,640.3224383
"255","Malawi","Africa",1977,43.767,5637246,663.2236766
"256","Somalia","Africa",1997,43.795,6633514,930.5964284
"257","Afghanistan","Asia",2007,43.828,31889923,974.5803384
"258","Swaziland","Africa",2002,43.869,1130269,4128.116943
"259","Eritrea","Africa",1982,43.89,2637297,524.8758493
"260","Peru","Americas",1952,43.902,8025700,3758.523437
"261","Mali","Africa",1982,43.916,6998256,618.0140641
"262","Togo","Africa",1962,43.922,1528098,1067.53481
"263","Nepal","Asia",1972,43.971,12412593,674.7881296
"264","China","Asia",1952,44,556263527,400.448611
"265","Rwanda","Africa",1987,44.02,6349365,847.991217
"266","Mozambique","Africa",2002,44.026,18473780,633.6179466
"267","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424
"268","Burundi","Africa",1972,44.057,3529983,464.0995039
"269","Zambia","Africa",1957,44.077,3016000,1311.956766
"270","Rwanda","Africa",1967,44.1,3451079,510.9637142
"271","Eritrea","Africa",1972,44.142,2260187,514.3242082
"272","Guatemala","Americas",1957,44.142,3640876,2617.155967
"273","Yemen, Rep.","Asia",1977,44.175,8403990,1829.765177
"274","Tanzania","Africa",1962,44.246,10863958,722.0038073
"275","Mauritania","Africa",1962,44.248,1146757,1055.896036
"276","Mozambique","Africa",1992,44.284,13160731,410.8968239
"277","Djibouti","Africa",1972,44.366,178848,3694.212352
"278","Egypt","Africa",1957,44.444,25009741,1458.915272
"279","Comoros","Africa",1962,44.467,191689,1406.648278
"280","Somalia","Africa",1987,44.501,6921858,1093.244963
"281","China","Asia",1962,44.50136,665770000,487.6740183
"282","Ethiopia","Africa",1977,44.51,34617799,556.8083834
"283","Nigeria","Africa",1977,44.514,62209173,1981.951806
"284","Eritrea","Africa",1977,44.535,2512642,505.7538077
"285","Niger","Africa",1987,44.555,7332638,668.3000228
"286","Uganda","Africa",1997,44.578,21210254,816.559081
"287","Lesotho","Africa",2002,44.593,2046772,1275.184575
"288","Gabon","Africa",1967,44.598,489004,8358.761987
"289","Rwanda","Africa",1972,44.6,3992121,590.5806638
"290","Tunisia","Africa",1952,44.6,3647735,1468.475631
"291","Honduras","Americas",1957,44.665,1770390,2220.487682
"292","Kenya","Africa",1957,44.686,7454779,944.4383152
"293","Burundi","Africa",1992,44.736,5809236,631.6998778
"294","Central African Republic","Africa",2007,44.741,4369038,706.016537
"295","Ghana","Africa",1957,44.779,6391288,1043.561537
"296","Cameroon","Africa",1967,44.799,6335506,1508.453148
"297","Madagascar","Africa",1972,44.851,7082430,1748.562982
"298","Liberia","Africa",1982,44.852,1956875,572.1995694
"299","Iran","Asia",1952,44.869,17272000,3035.326002
"300","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"301","Benin","Africa",1967,44.885,2427334,1035.831411
"302","Ethiopia","Africa",1982,44.916,38111756,577.8607471
"303","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428
"304","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"305","Swaziland","Africa",1962,44.992,370006,1856.182125
"306","Rwanda","Africa",1977,45,4657072,670.0806011
"307","Malawi","Africa",2002,45.009,11824495,665.4231186
"308","South Africa","Africa",1952,45.009,14264935,4725.295531
"309","Bolivia","Americas",1967,45.032,4040665,2586.886053
"310","Lesotho","Africa",1957,45.047,813338,335.9971151
"311","Congo, Rep.","Africa",1957,45.053,940458,2315.056572
"312","Sudan","Africa",1972,45.083,14597019,1659.652775
"313","Myanmar","Asia",1962,45.108,23634436,388
"314","Namibia","Africa",1957,45.226,548080,2621.448058
"315","Mongolia","Asia",1957,45.248,882134,912.6626085
"316","Bangladesh","Asia",1972,45.252,70759295,630.2336265
"317","El Salvador","Americas",1952,45.262,2042865,3048.3029
"318","Libya","Africa",1957,45.289,1201578,3448.284395
"319","Iraq","Asia",1952,45.32,5441766,4129.766056
"320","Burundi","Africa",1997,45.326,6121610,463.1151478
"321","Uganda","Africa",1962,45.344,7688797,767.2717398
"322","Vietnam","Asia",1962,45.363,33796140,772.0491602
"323","Cambodia","Asia",1967,45.415,6960067,523.4323142
"324","Morocco","Africa",1957,45.423,11406350,1642.002314
"325","Nicaragua","Americas",1957,45.432,1358828,3457.415947
"326","Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"327","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"328","Guinea","Africa",1987,45.552,5650262,805.5724718
"329","Pakistan","Asia",1957,45.557,46679944,747.0835292
"330","Chad","Africa",1972,45.569,3899068,1104.103987
"331","Gambia","Africa",1982,45.58,715523,835.8096108
"332","Malawi","Africa",1982,45.642,6502825,632.8039209
"333","Equatorial Guinea","Africa",1987,45.664,341244,966.8968149
"334","Jordan","Asia",1957,45.669,746559,1886.080591
"335","West Bank and Gaza","Asia",1957,45.671,1070439,1827.067742
"336","Liberia","Africa",2007,45.678,3193942,414.5073415
"337","Algeria","Africa",1957,45.685,10270856,3013.976023
"338","Tanzania","Africa",1967,45.757,12607312,848.2186575
"339","Senegal","Africa",1972,45.815,4588696,1597.712056
"340","Nigeria","Africa",1982,45.826,73039376,1576.97375
"341","Syria","Asia",1952,45.883,3661549,1643.485354
"342","Burundi","Africa",1977,45.91,3834415,556.1032651
"343","Saudi Arabia","Asia",1962,45.914,4943029,11626.41975
"344","Dominican Republic","Americas",1952,45.928,2491346,1397.717137
"345","Somalia","Africa",2002,45.936,7753310,882.0818218
"346","Indonesia","Asia",1967,45.964,109343000,762.4317721
"347","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685
"348","Zambia","Africa",1962,46.023,3421000,1452.725766
"349","Liberia","Africa",1987,46.027,2269414,506.1138573
"350","Central African Republic","Africa",1997,46.066,3696513,740.5063317
"351","Zambia","Africa",1992,46.1,8381163,1210.884633
"352","Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"353","Rwanda","Africa",1982,46.218,5507565,881.5706467
"354","Rwanda","Africa",2007,46.242,8860588,863.0884639
"355","Haiti","Americas",1967,46.243,4318137,1452.057666
"356","Peru","Americas",1957,46.263,9146100,4245.256698
"357","Mauritania","Africa",1967,46.289,1230542,1421.145193
"358","Mozambique","Africa",1997,46.344,16603334,472.3460771
"359","Mali","Africa",1987,46.364,7634008,684.1715576
"360","Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"361","Ghana","Africa",1962,46.452,7355248,1190.041118
"362","Eritrea","Africa",1987,46.453,2915959,521.1341333
"363","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"364","Sao Tome and Principe","Africa",1952,46.471,60011,879.5835855
"365","Comoros","Africa",1967,46.472,217378,1876.029643
"366","Djibouti","Africa",1977,46.519,228694,3081.761022
"367","Nigeria","Africa",2002,46.608,119901274,1615.286395
"368","Swaziland","Africa",1967,46.633,420690,2613.101665
"369","Botswana","Africa",2002,46.634,1630347,11003.60508
"370","Ethiopia","Africa",1987,46.684,42999530,573.7413142
"371","Bolivia","Americas",1972,46.714,4565872,2980.331339
"372","Nepal","Asia",1977,46.748,13933198,694.1124398
"373","Togo","Africa",1967,46.769,1735550,1477.59676
"374","Central African Republic","Africa",1977,46.775,2167533,1109.374338
"375","Zimbabwe","Africa",1997,46.809,11404948,792.4499603
"376","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"377","Nigeria","Africa",2007,46.859,135031164,2013.977305
"378","Madagascar","Africa",1977,46.881,8007166,1544.228586
"379","Nigeria","Africa",1987,46.886,81551520,1385.029563
"380","Bangladesh","Asia",1977,46.923,80428306,659.8772322
"381","Guatemala","Americas",1962,46.954,4208858,2750.364446
"382","Oman","Asia",1967,46.988,714775,4720.942687
"383","Egypt","Africa",1962,46.992,28173309,1693.335853
"384","Benin","Africa",1972,47.014,2761407,1085.796879
"385","Cameroon","Africa",1972,47.049,7021028,1684.146528
"386","Tunisia","Africa",1957,47.1,3950849,1395.232468
"387","Iran","Asia",1957,47.181,19792000,3290.257643
"388","India","Asia",1967,47.193,506000000,700.7706107
"389","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473
"390","Burundi","Africa",2002,47.36,7021078,446.4035126
"391","Chad","Africa",1977,47.383,4388260,1133.98495
"392","Niger","Africa",1992,47.391,8392818,581.182725
"393","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"394","Korea, Rep.","Asia",1952,47.453,20947571,1030.592226
"395","Malawi","Africa",1987,47.457,7824747,635.5173634
"396","Nigeria","Africa",1997,47.464,106207839,1624.941275
"397","Burundi","Africa",1982,47.471,4580410,559.603231
"398","Nigeria","Africa",1992,47.472,93364244,1619.848217
"399","Malawi","Africa",1997,47.495,10419991,692.2758103
"400","Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"401","Tanzania","Africa",1972,47.62,14706593,915.9850592
"402","Botswana","Africa",1952,47.622,442308,851.2411407
"403","Pakistan","Asia",1962,47.67,53100671,803.3427418
"404","Lesotho","Africa",1962,47.747,893143,411.8006266
"405","Philippines","Asia",1952,47.752,22438691,1272.880995
"406","Zambia","Africa",1967,47.768,3900000,1777.077318
"407","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"408","Sudan","Africa",1977,47.8,17104986,2202.988423
"409","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282
"410","Libya","Africa",1962,47.808,1441863,6757.030816
"411","Uganda","Africa",2002,47.813,24739869,927.7210018
"412","Vietnam","Asia",1967,47.838,39463910,637.1232887
"413","Morocco","Africa",1962,47.924,13056604,1566.353493
"414","Kenya","Africa",1962,47.949,8678557,896.9663732
"415","South Africa","Africa",1957,47.985,16151549,5487.104219
"416","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"417","Honduras","Americas",1962,48.041,2090162,2291.156835
"418","Haiti","Americas",1972,48.042,4698301,1654.456946
"419","Uganda","Africa",1967,48.051,8900294,908.9185217
"420","Ghana","Africa",1967,48.072,8490213,1125.69716
"421","Turkey","Europe",1957,48.079,25670939,2218.754257
"422","Ethiopia","Africa",1992,48.091,52088559,421.3534653
"423","Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"424","Jordan","Asia",1962,48.126,933559,2348.009158
"425","West Bank and Gaza","Asia",1962,48.127,1133134,2198.956312
"426","Somalia","Africa",2007,48.159,9118773,926.1410683
"427","Burundi","Africa",1987,48.211,5126023,621.8188189
"428","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"429","Mongolia","Asia",1962,48.251,1010280,1056.353958
