"","country","continent","year","lifeExp","pop","gdpPercap"
"430","Syria","Asia",1957,48.284,4149908,2117.234893
"431","Central African Republic","Africa",1982,48.295,2476971,956.7529907
"432","Algeria","Africa",1962,48.303,11000948,2550.81688
"433","Malawi","Africa",2007,48.303,13327079,759.3499101
"434","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"435","Ecuador","Americas",1952,48.357,3548753,3522.110717
"436","Namibia","Africa",1962,48.386,621392,3173.215595
"437","Mali","Africa",1992,48.388,8416215,739.014375
"438","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157
"439","Iraq","Asia",1957,48.437,6248643,6229.333562
"440","Mauritania","Africa",1972,48.437,1332786,1586.851781
"441","Zimbabwe","Africa",1952,48.451,3080907,406.8841148
"442","Malaysia","Asia",1952,48.463,6748378,1831.132894
"443","Tanzania","Africa",1997,48.466,30686889,789.1862231
"444","Lesotho","Africa",1967,48.492,996380,498.6390265
"445","El Salvador","Americas",1957,48.57,2355805,3421.523218
"446","Guinea","Africa",1992,48.576,6990574,794.3484384
"447","Nicaragua","Americas",1962,48.632,1590597,3634.364406
"448","Gabon","Africa",1972,48.69,537977,11401.94841
"449","Djibouti","Africa",1982,48.812,305991,2879.468067
"450","Uganda","Africa",1992,48.825,18252190,644.1707969
"451","Senegal","Africa",1977,48.879,5260855,1561.769116
"452","Comoros","Africa",1972,48.944,250027,1937.577675
"453","Sao Tome and Principe","Africa",1957,48.945,61325,860.7369026
"454","Madagascar","Africa",1982,48.969,9171477,1302.878658
"455","Peru","Americas",1962,49.096,10516500,4957.037982
"456","Yemen, Rep.","Asia",1982,49.113,9657618,1977.55701
"457","Benin","Africa",1977,49.19,3168267,1029.161251
"458","Indonesia","Asia",1972,49.203,121282000,1111.107907
"459","Gambia","Africa",1987,49.265,848406,611.6588611
"460","Egypt","Africa",1967,49.293,31681188,1814.880728
"461","Iran","Asia",1962,49.325,22874000,4187.329802
"462","South Africa","Africa",2007,49.339,43997828,9269.657808
"463","Equatorial Guinea","Africa",2002,49.348,495627,7703.4959
"464","Madagascar","Africa",1987,49.35,10568642,1155.441948
"465","Cameroon","Africa",1977,49.355,7959865,1783.432873
"466","Myanmar","Asia",1967,49.379,25870271,349
"467","Central African Republic","Africa",1992,49.396,3265124,747.9055252
"468","Ethiopia","Africa",1997,49.402,59861301,515.8894013
"469","Malawi","Africa",1992,49.42,10014249,563.2000145
"470","Chad","Africa",1982,49.517,4875118,797.9081006
"471","Swaziland","Africa",1972,49.552,480105,3364.836625
"472","Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"473","Tunisia","Africa",1962,49.579,4286552,1660.30321
"474","Burundi","Africa",2007,49.58,8390505,430.0706916
"475","Nepal","Asia",1982,49.594,15796314,718.3730947
"476","Botswana","Africa",1957,49.618,474639,918.2325349
"477","Tanzania","Africa",2002,49.651,34593779,899.0742111
"478","Togo","Africa",1972,49.759,2056351,1649.660188
"479","Lesotho","Africa",1972,49.767,1116779,496.5815922
"480","Pakistan","Asia",1967,49.8,60641899,942.4082588
"481","Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111
"482","Dominican Republic","Americas",1957,49.828,2923186,1544.402995
"483","Uganda","Africa",1982,49.849,12939400,682.2662268
"484","Cameroon","Africa",2002,49.856,15929988,1934.011449
"485","Ghana","Africa",1972,49.875,9354120,1178.223708
"486","Saudi Arabia","Asia",1967,49.901,5618198,16903.04886
"487","Mali","Africa",1997,49.903,9384984,790.2579846
"488","Tanzania","Africa",1977,49.919,17129565,962.4922932
"489","Haiti","Americas",1977,49.923,4908554,1874.298931
"490","South Africa","Africa",1962,49.951,18356657,5768.729717
"491","Eritrea","Africa",1992,49.991,3668440,582.8585102
"492","Bangladesh","Asia",1982,50.009,93074406,676.9818656
"493","Guatemala","Americas",1967,50.016,4690773,3242.531147
"494","Bolivia","Americas",1977,50.023,5079716,3548.097832
"495","Djibouti","Africa",1987,50.04,311025,2880.102568
"496","Korea, Dem. Rep.","Asia",1952,50.056,8865488,1088.277758
"497","Zambia","Africa",1972,50.107,4506497,1773.498265
"498","Libya","Africa",1967,50.227,1759224,18772.75169
"499","Vietnam","Asia",1972,50.254,44655014,699.5016441
"500","Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"501","Syria","Asia",1962,50.305,4834621,2193.037133
"502","Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"503","Morocco","Africa",1967,50.335,14770296,1711.04477
"504","Sudan","Africa",1982,50.338,20367053,1895.544073
"505","Uganda","Africa",1977,50.35,11457758,843.7331372
"506","Cameroon","Africa",2007,50.43,17696293,2042.09524
"507","Tanzania","Africa",1992,50.44,26605473,825.682454
"508","Zimbabwe","Africa",1957,50.469,3646340,518.7642681
"509","Central African Republic","Africa",1987,50.485,2840009,844.8763504
"510","Chad","Africa",2002,50.525,8835739,1156.18186
"511","China","Asia",1957,50.54896,637408000,575.9870009
"512","Tanzania","Africa",1982,50.608,19844382,874.2426069
"513","Colombia","Americas",1952,50.643,12350771,2144.115096
"514","Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"515","Chad","Africa",2007,50.651,10238807,1704.063724
"516","India","Asia",1972,50.651,567000000,724.032527
"517","Kenya","Africa",1967,50.654,10191512,1056.736457
"518","Ethiopia","Africa",2002,50.725,67946797,530.0535319
"519","Botswana","Africa",2007,50.728,1639131,12569.85177
"520","Mexico","Americas",1952,50.789,30144317,3478.125529
"521","Zambia","Africa",1987,50.821,7272406,1213.315116
"522","Thailand","Asia",1952,50.848,21289402,757.7974177
"523","Mauritania","Africa",1977,50.852,1456688,1497.492223
"524","Benin","Africa",1982,50.904,3641603,1277.897616
"525","Brazil","Americas",1952,50.917,56602560,2108.944355
"526","Honduras","Americas",1967,50.924,2500689,2538.269358
"527","Bahrain","Asia",1952,50.939,120447,9867.084765
"528","Comoros","Africa",1977,50.939,304739,1172.603047
"529","Cambodia","Asia",1982,50.957,7272485,624.4754784
"530","Mauritius","Africa",1952,50.986,516556,1967.955707
"531","Kenya","Africa",2002,50.992,31386842,1287.514732
"532","Uganda","Africa",1972,51.016,10190285,950.735869
"533","Chad","Africa",1987,51.051,5498955,952.386129
"534","Egypt","Africa",1972,51.137,34807417,2024.008147
"535","Namibia","Africa",1967,51.159,706640,3793.694753
"536","Mongolia","Asia",1967,51.253,1149500,1226.04113
"537","Niger","Africa",1997,51.313,9666252,580.3052092
"538","Philippines","Asia",1957,51.334,26072194,1547.944844
"539","Ecuador","Americas",1957,51.356,4058385,3780.546651
"540","Zambia","Africa",1977,51.386,5216550,1588.688299
"541","Algeria","Africa",1967,51.407,12760499,3246.991771
"542","Peru","Americas",1967,51.445,12132200,5788.09333
"543","Guinea","Africa",1997,51.455,8048834,869.4497668
"544","Iraq","Asia",1962,51.457,7240260,8341.737815
"545","Haiti","Americas",1982,51.461,5198399,2011.159549
"546","Namibia","Africa",2002,51.479,1972153,4072.324751
"547","Uganda","Africa",1987,51.509,15283050,617.7244065
"548","Botswana","Africa",1962,51.52,512764,983.6539764
"549","Tanzania","Africa",1987,51.535,23040630,831.8220794
"550","Uganda","Africa",2007,51.542,29170398,1056.380121
"551","Chad","Africa",1997,51.573,7562011,1004.961353
"552","Equatorial Guinea","Africa",2007,51.579,551201,12154.08975
"553","Djibouti","Africa",1992,51.604,384156,2377.156192
"554","Jordan","Asia",1967,51.629,1255058,2741.796252
"555","West Bank and Gaza","Asia",1967,51.631,1142636,2649.715007
"556","Chad","Africa",1992,51.724,6429417,1058.0643
"557","Sudan","Africa",1987,51.744,24725960,1507.819159
"558","Ghana","Africa",1977,51.756,10538093,993.2239571
"559","Mali","Africa",2002,51.818,10580176,951.4097518
"560","Zambia","Africa",1982,51.821,6100407,1408.678565
"561","Nicaragua","Americas",1967,51.884,1865490,4643.393534
"562","Sao Tome and Principe","Africa",1962,51.893,65345,1071.551119
"563","South Africa","Africa",1967,51.927,20997321,7114.477971
"564","Pakistan","Asia",1972,51.929,69325921,1049.938981
"565","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642
"566","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"567","Tunisia","Africa",1967,52.053,4786986,1932.360167
"568","Turkey","Europe",1962,52.098,29788695,2322.869908
"569","Malaysia","Asia",1957,52.102,7739235,1810.066992
"570","Oman","Asia",1972,52.143,829050,10618.03855
"571","Cameroon","Africa",1997,52.199,14195809,1694.337469
"572","Lesotho","Africa",1977,52.208,1251524,745.3695408
"573","Madagascar","Africa",1992,52.214,12210395,1040.67619
"574","Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"575","El Salvador","Americas",1962,52.307,2747687,3776.803627
"576","Benin","Africa",1987,52.337,4243788,1225.85601
"577","Zimbabwe","Africa",1962,52.358,4277736,527.2721818
"578","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547
"579","Senegal","Africa",1982,52.379,6147783,1518.479984
"580","Iran","Asia",1967,52.469,26538000,5906.731805
"581","Tanzania","Africa",2007,52.517,38139640,1107.482182
"582","Nepal","Asia",1987,52.537,17917180,775.6324501
"583","Swaziland","Africa",1977,52.537,551425,3781.410618
"584","Botswana","Africa",1997,52.556,1536536,8647.142313
"585","Gambia","Africa",1992,52.644,1025384,665.6244126
"586","Korea, Rep.","Asia",1957,52.681,22611552,1487.593537
"587","Indonesia","Asia",1977,52.702,136725000,1382.702056
"588","Reunion","Africa",1952,52.724,257700,2718.885295
"589","Libya","Africa",1972,52.773,2183877,21011.49721
"590","Gabon","Africa",1977,52.79,706367,21745.57328
"591","Bangladesh","Asia",1987,52.819,103764241,751.9794035
"592","Morocco","Africa",1972,52.862,16660670,1930.194975
"593","Togo","Africa",1977,52.887,2308582,1532.776998
"594","Namibia","Africa",2007,52.906,2055080,4811.060429
"595","Yemen, Rep.","Asia",1987,52.922,11219340,1971.741538
"596","Comoros","Africa",1982,52.933,348643,1267.100083
"597","Ethiopia","Africa",2007,52.947,76511887,690.8055759
"598","Cameroon","Africa",1982,52.961,9250831,2367.983282
"599","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"600","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"601","Myanmar","Asia",1972,53.07,28466390,357
"602","Djibouti","Africa",1997,53.157,417908,1895.016984
"603","Brazil","Americas",1957,53.285,65551171,2487.365989
"604","Botswana","Africa",1967,53.298,553541,1214.709294
"605","Egypt","Africa",1977,53.319,38783863,2785.493582
"606","South Africa","Africa",2002,53.365,44433622,7710.946444
"607","Djibouti","Africa",2002,53.373,447416,1908.260867
"608","Eritrea","Africa",1997,53.378,4058319,913.47079
"609","Dominican Republic","Americas",1962,53.459,3453434,1662.137359
"610","Sudan","Africa",1992,53.556,28227588,1492.197043
"611","Kenya","Africa",1972,53.559,12044785,1222.359968
"612","Mauritania","Africa",1982,53.599,1622136,1481.150189
"613","Thailand","Asia",1957,53.63,25041917,793.5774148
"614","Haiti","Americas",1987,53.636,5756203,1823.015995
"615","Syria","Asia",1967,53.655,5680812,1881.923632
"616","Guinea","Africa",2002,53.676,8807818,945.5835837
"617","South Africa","Africa",1972,53.696,23935810,7765.962636
"618","Guatemala","Americas",1972,53.738,5149581,4031.408271
"619","Ghana","Africa",1982,53.744,11400338,876.032569
"620","Mongolia","Asia",1972,53.754,1320500,1421.741975
"621","Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948
"622","Bahrain","Asia",1957,53.832,138655,11635.79945
"623","Bolivia","Americas",1982,53.859,5642224,3156.510452
"624","Namibia","Africa",1972,53.867,821782,3746.080948
"625","Honduras","Americas",1972,53.884,2965146,2529.842345
"626","Saudi Arabia","Asia",1972,53.886,6472756,24837.42865
"627","Cambodia","Asia",1987,53.914,8371791,683.8955732
"628","Benin","Africa",1992,53.919,4981671,1191.207681
"629","Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169
"630","Zimbabwe","Africa",1967,53.995,4995432,569.7950712
"631","Pakistan","Asia",1977,54.043,78152686,1175.921193
"632","Korea, Dem. Rep.","Asia",1957,54.081,9411381,1571.134655
"633","Kenya","Africa",2007,54.11,35610177,1463.249282
"634","India","Asia",1977,54.208,634000000,813.337323
"635","Swaziland","Africa",1997,54.289,1054486,3876.76846
"636","Cameroon","Africa",1992,54.314,12467171,1793.163278
"637","Turkey","Europe",1967,54.336,33411317,2826.356387
"638","Benin","Africa",2002,54.406,7026113,1372.877931
"639","Kenya","Africa",1997,54.407,28263827,1360.485021
"640","Sao Tome and Principe","Africa",1967,54.425,70787,1384.840593
"641","Iraq","Asia",1967,54.459,8519282,8931.459811
"642","Mali","Africa",2007,54.467,12031795,1042.581557
"643","Niger","Africa",2002,54.496,11140655,601.0745012
"644","Algeria","Africa",1972,54.518,14760787,4182.663766
"645","Ecuador","Americas",1962,54.64,4681707,4086.114078
"646","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069
"647","Chile","Americas",1952,54.745,6377619,3939.978789
"648","Philippines","Asia",1962,54.757,30325264,1649.552153
"649","Benin","Africa",1997,54.777,6066080,1232.975292
"650","Djibouti","Africa",2007,54.791,496374,2082.481567
"651","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683
"652","Comoros","Africa",1987,54.926,395114,1315.980812
"653","Madagascar","Africa",1997,54.978,14165114,986.2958956
"654","Cameroon","Africa",1987,54.985,10780667,2602.664206
"655","Lesotho","Africa",1982,55.078,1411807,797.2631074
"656","Venezuela","Americas",1952,55.088,5439568,7689.799761
"657","Haiti","Americas",1992,55.089,6326682,1456.309517
"658","Reunion","Africa",1957,55.09,308700,2769.451844
"659","Colombia","Americas",1957,55.118,14485993,2323.805581
"660","Nicaragua","Americas",1972,55.151,2182908,4688.593267
"661","Mexico","Americas",1957,55.19,35015548,4131.546641
"662","Panama","Americas",1952,55.191,940080,2480.380334
"663","Albania","Europe",1952,55.23,1282697,1601.056136
"664","Iran","Asia",1972,55.234,30614000,9613.818607
"665","Eritrea","Africa",2002,55.24,4414865,765.3500015
"666","Korea, Rep.","Asia",1962,55.292,26420307,1536.344387
"667","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798
"668","Sudan","Africa",1997,55.373,32160729,1632.210764
"669","Peru","Americas",1972,55.448,13954700,5937.827283
"670","Togo","Africa",1982,55.471,2644765,1344.577953
"671","Mongolia","Asia",1977,55.491,1528000,1647.511665
"672","South Africa","Africa",1977,55.527,27129932,8028.651439
"673","Lesotho","Africa",1997,55.558,1982823,1186.147994
"674","Swaziland","Africa",1982,55.561,649901,3895.384018
"675","Kuwait","Asia",1952,55.565,160000,108382.3529
"676","Yemen, Rep.","Asia",1992,55.599,13367997,1879.496673
"677","Tunisia","Africa",1972,55.602,5303507,2753.285994
"678","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978
"679","Zimbabwe","Africa",1972,55.635,5861135,799.3621758
"680","Brazil","Americas",1962,55.665,76039390,3336.585802
"681","Nepal","Asia",1992,55.727,20326209,897.7403604
"682","Ghana","Africa",1987,55.729,14168101,847.0061135
"683","Morocco","Africa",1977,55.73,18396941,2370.619976
"684","Malaysia","Asia",1962,55.737,8906385,2036.884944
"685","Vietnam","Asia",1977,55.764,50533506,713.5371196
"686","Senegal","Africa",1987,55.769,7171347,1441.72072
"687","Cambodia","Asia",1992,55.803,10150094,682.3031755
"688","El Salvador","Americas",1967,55.855,3232927,4358.595393
"689","Gambia","Africa",1997,55.861,1235767,653.7301704
"690","Lebanon","Asia",1952,55.928,1439529,4834.804067
"691","Egypt","Africa",1982,56.006,45681811,3503.729636
"692","Guinea","Africa",2007,56.007,9947814,942.6542111
"693","Bangladesh","Asia",1992,56.018,113704579,837.8101643
"694","Botswana","Africa",1972,56.024,619351,2263.611114
"695","Guatemala","Americas",1977,56.029,5703430,4879.992748
"696","Myanmar","Asia",1977,56.059,31528087,371
"697","Thailand","Asia",1962,56.061,29263397,1002.199172
"698","Chile","Americas",1957,56.074,7048426,4315.622723
"699","Mauritania","Africa",1987,56.145,1841240,1421.603576
"700","Kenya","Africa",1977,56.155,14500404,1267.613204
"701","Pakistan","Asia",1982,56.158,91462088,1443.429832
"702","Indonesia","Asia",1982,56.159,153343000,1516.872988
"703","Sudan","Africa",2002,56.369,37090298,1993.398314
"704","Philippines","Asia",1967,56.393,35356600,1814.12743
"705","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"706","Namibia","Africa",1977,56.437,977026,3876.485958
"707","Sao Tome and Principe","Africa",1972,56.48,76595,1532.985254
"708","Jordan","Asia",1972,56.528,1613551,2110.856309
"709","West Bank and Gaza","Asia",1972,56.532,1089572,3133.409277
"710","Cambodia","Asia",1997,56.534,11782962,734.28517
"711","Gabon","Africa",1982,56.564,753874,15113.36194
"712","India","Asia",1982,56.596,708000000,855.7235377
"713","El Salvador","Americas",1982,56.604,4474873,4098.344175
"714","Korea, Dem. Rep.","Asia",1962,56.656,10917494,1621.693598
"715","Haiti","Americas",1997,56.671,6913545,1341.726931
"716","Ecuador","Americas",1967,56.678,5432424,4579.074215
"717","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522
"718","El Salvador","Americas",1977,56.696,4282586,5138.922374
"719","Benin","Africa",2007,56.728,8078314,1441.284873
"720","Gabon","Africa",2007,56.735,1454867,13206.48452
"721","Dominican Republic","Americas",1967,56.751,4049146,1653.723003
"722","Cambodia","Asia",2002,56.752,12926707,896.2260153
"723","Gabon","Africa",2002,56.761,1299304,12521.71392
"724","Niger","Africa",2007,56.867,12894865,619.6768924
"725","Bahrain","Asia",1962,56.923,171863,12753.27514
"726","Togo","Africa",1987,56.941,3154264,1202.201361
"727","Iraq","Asia",1972,56.95,10061506,9576.037596
"728","Turkey","Europe",1972,57.005,37492953,3450.69638
"729","Iraq","Asia",2002,57.046,24001816,4390.717312
"730","Lesotho","Africa",1987,57.18,1599200,773.9932141
"731","Costa Rica","Americas",1952,57.206,926317,2627.009471
"732","Bolivia","Americas",1987,57.251,6156369,2753.69149
"733","Madagascar","Africa",2002,57.286,16473477,894.6370822
"734","Syria","Asia",1972,57.296,6701172,2571.423014
"735","Oman","Asia",1977,57.367,1004533,11848.34392
"736","Honduras","Americas",1977,57.402,3055235,3203.208066
"737","Libya","Africa",1977,57.442,2721783,21951.21176
"738","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937
"739","Nicaragua","Americas",1977,57.47,2554598,5486.371089
"740","Mongolia","Asia",1982,57.489,1756032,2000.603139
"741","Ghana","Africa",1992,57.501,16278738,925.060154
"742","Togo","Africa",2002,57.561,4977378,886.2205765
"743","Sri Lanka","Asia",1952,57.593,7982342,1083.53203
"744","Brazil","Americas",1967,57.632,88049823,3429.864357
"745","Reunion","Africa",1962,57.666,358900,3173.72334
"746","Zimbabwe","Africa",1977,57.674,6642107,685.5876821
"747","Swaziland","Africa",1987,57.678,779348,3984.839812
"748","Iran","Asia",1977,57.702,35480679,11888.59508
"749","Korea, Rep.","Asia",1967,57.716,30131000,2029.228142
"750","Colombia","Americas",1962,57.863,17009885,2492.351109
"751","Venezuela","Americas",1957,57.907,6702668,9802.466526
"752","Chile","Americas",1962,57.924,7961258,4519.094331
"753","Comoros","Africa",1992,57.939,454429,1246.90737
"754","Serbia","Europe",1952,57.996,6860147,3581.459448
"755","Algeria","Africa",1977,58.014,17152804,4910.416756
"756","Yemen, Rep.","Asia",1997,58.02,15826497,2117.484526
"757","Kuwait","Asia",1957,58.033,212846,113523.1329
"758","Eritrea","Africa",2007,58.04,4906585,641.3695236
"759","Gambia","Africa",2002,58.041,1457766,660.5855997
"760","Myanmar","Asia",1982,58.056,34680442,424
"761","Togo","Africa",1992,58.061,3747553,1034.298904
"762","Philippines","Asia",1972,58.065,40850141,1989.37407
"763","Mauritius","Africa",1957,58.089,609816,2034.037981
"764","Guatemala","Americas",1982,58.137,6395630,4820.49479
"765","Haiti","Americas",2002,58.137,7607651,1270.364932
"766","South Africa","Africa",1982,58.161,31140029,8568.266228
"767","Senegal","Africa",1992,58.196,8307920,1367.899369
"768","El Salvador","Americas",1972,58.207,3790903,4520.246008
"769","Pakistan","Asia",1987,58.245,105186881,1704.686583
"770","Thailand","Asia",1967,58.285,34024249,1295.46066
"771","Mexico","Americas",1962,58.299,41121485,4581.609385
"772","Mauritania","Africa",1992,58.333,2119465,1361.369784
"773","Myanmar","Asia",1987,58.339,38028578,385
"774","China","Asia",1967,58.38112,754550000,612.7056934
"775","Togo","Africa",1997,58.39,4320890,982.2869243
"776","Togo","Africa",2007,58.42,5701579,882.9699438
"777","Peru","Americas",1977,58.447,15990099,6281.290855
"778","Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176
"779","Ghana","Africa",2002,58.453,20550751,1111.984578
"780","Swaziland","Africa",1992,58.474,962344,3553.0224
"781","Taiwan","Asia",1952,58.5,8550362,1206.947913
"782","Jamaica","Americas",1952,58.53,1426095,2898.530881
"783","Sao Tome and Principe","Africa",1977,58.55,86796,1737.561657
"784","India","Asia",1987,58.553,788000000,976.5126756
"785","Ghana","Africa",1997,58.556,18418288,1005.245812
"786","Sudan","Africa",2007,58.556,42292929,2602.394995
"787","Saudi Arabia","Asia",1977,58.69,8128505,34167.7626
"788","Kenya","Africa",1982,58.766,17661452,1348.225791
"789","Ecuador","Americas",1972,58.796,6298651,5280.99471
"790","Iraq","Asia",1997,58.811,20775703,3076.239795
"791","Vietnam","Asia",1982,58.816,56142181,707.2357863
"792","Namibia","Africa",1997,58.909,1774766,3899.52426
"793","Namibia","Africa",1982,58.968,1099010,4191.100511
"794","Trinidad and Tobago","Americas",1952,59.1,662850,3023.271928
"795","Montenegro","Europe",1952,59.164,413834,2647.585601
"796","Panama","Americas",1957,59.201,1063506,2961.800905
"797","Albania","Europe",1957,59.28,1476505,1942.284244
"798","Kenya","Africa",1992,59.285,25020539,1341.921721
"799","Nicaragua","Americas",1982,59.298,2979423,3470.338156
"800","Botswana","Africa",1977,59.319,781472,3214.857818
"801","Myanmar","Asia",1992,59.32,40546538,347
"802","Kenya","Africa",1987,59.339,21198082,1361.936856
"803","Malaysia","Asia",1967,59.371,10154878,2277.742396
"804","Bangladesh","Asia",1997,59.412,123315288,972.7700352
"805","Cuba","Americas",1952,59.421,6007797,5586.53878
"806","Nepal","Asia",1997,59.426,23001113,1010.892138
"807","Madagascar","Africa",2007,59.443,19167654,1044.770126
"808","Gambia","Africa",2007,59.448,1688359,752.7497265
"809","Iraq","Asia",1992,59.461,17861905,3745.640687
"810","Lebanon","Asia",1957,59.489,1647412,6089.786934
"811","Brazil","Americas",1972,59.504,100840058,4985.711467
"812","Turkey","Europe",1977,59.507,42404033,4269.122326
"813","Iraq","Asia",2007,59.545,27499638,4471.061906
"814","Bulgaria","Europe",1952,59.6,7274900,2444.286648
"815","Iran","Asia",1982,59.62,43072751,7608.334602
"816","Dominican Republic","Americas",1972,59.631,4671329,2189.874499
"817","Morocco","Africa",1982,59.65,20198730,2702.620356
"818","Lesotho","Africa",1992,59.685,1803195,977.4862725
"819","Cambodia","Asia",2007,59.723,14131858,1713.778686
"820","Egypt","Africa",1987,59.797,52799062,3885.46071
"821","Portugal","Europe",1952,59.82,8526050,3068.319867
"822","Tunisia","Africa",1977,59.837,6005061,3120.876811
"823","Myanmar","Asia",2002,59.908,45598081,611
"824","Bahrain","Asia",1967,59.923,202182,14804.6727
"825","Korea, Dem. Rep.","Asia",1967,59.942,12617009,2143.540609
"826","Bolivia","Americas",1992,59.957,6893451,2961.699694
"827","Colombia","Americas",1967,59.963,19764027,2678.729839
"828","Ghana","Africa",2007,60.022,22873338,1327.60891
"829","Costa Rica","Americas",1957,60.026,1112300,2990.010802
"830","Philippines","Asia",1977,60.06,46850962,2373.204287
"831","Mexico","Americas",1967,60.11,47995559,5754.733883
"832","Indonesia","Asia",1987,60.137,169276000,1748.356961
"833","Senegal","Africa",1997,60.187,9535314,1392.368347
"834","Gabon","Africa",1987,60.19,880397,11864.40844
"835","Mongolia","Asia",1987,60.222,2015133,2338.008304
"836","India","Asia",1992,60.223,872000000,1164.406809
"837","South Africa","Africa",1997,60.236,42835005,7479.188244
"838","Mauritius","Africa",1962,60.246,701016,2529.067487
"839","Yemen, Rep.","Asia",2002,60.308,18701257,2234.820827
"840","Myanmar","Asia",1997,60.328,43247867,415
"841","Sao Tome and Principe","Africa",1982,60.351,98593,1890.218117
"842","Zimbabwe","Africa",1982,60.363,7636524,788.8550411
"843","Zimbabwe","Africa",1992,60.377,10704340,693.4207856
"844","Singapore","Asia",1952,60.396,1127000,2315.138227
"845","Thailand","Asia",1972,60.405,39276153,1524.358936
"846","Iraq","Asia",1977,60.413,11882916,14688.23507
"847","Mauritania","Africa",1997,60.43,2444741,1483.136136
"848","Gabon","Africa",1997,60.461,1126189,14722.84188
"849","Kuwait","Asia",1962,60.47,358266,95458.11176
"850","Chile","Americas",1967,60.523,8858908,5106.654313
"851","Reunion","Africa",1967,60.542,414024,4021.175739
"852","Comoros","Africa",1997,60.66,527982,1173.618235
"853","West Bank and Gaza","Asia",1977,60.765,1261091,3682.831494
"854","Venezuela","Americas",1962,60.77,8143375,8422.974165
"855","Guatemala","Americas",1987,60.782,7326406,4246.485974
"856","South Africa","Africa",1987,60.834,35933379,7825.823398
"857","Namibia","Africa",1987,60.835,1278184,3693.731337
"858","Pakistan","Asia",1992,60.838,120065004,1971.829464
"859","Honduras","Americas",1982,60.909,3669448,3121.760794
"860","Haiti","Americas",2007,60.916,8502814,1201.637154
